dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.993,0.996,0.995,0.88,0.999,0.993,0.996,13.374500036239624
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.881,1.0,1.0,1.0,7.071579933166504
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.791,0.999,0.991,0.995,6.574845552444458
synth_new1,train,pv,789,789,0.999,0.99,0.994,0.995,0.869,0.999,0.99,0.994,11.027014255523682
synth_new1,val,pv,225,225,0.995,1.0,0.998,0.995,0.874,0.995,1.0,0.998,7.180267095565796
synth_new1,test,pv,114,114,0.99,1.0,0.995,0.995,0.871,0.99,1.0,0.995,6.18038272857666
synth_old,train,pv,150,374,0.272,0.219,0.243,0.155,0.068,0.207,0.15,0.174,7.055843830108643
synth_old,val,pv,12,35,0.519,0.525,0.522,0.535,0.255,0.676,0.371,0.479,4.825848579406738
synth_old,test,pv,18,32,0.223,0.219,0.221,0.147,0.075,0.159,0.156,0.158,5.74466872215271
mix_synth_rzesz,train,pv,1449,2706,0.881,0.789,0.832,0.878,0.671,0.895,0.768,0.826,16.29694437980652
rzeszow,train,pv,435,1692,0.759,0.698,0.727,0.768,0.509,0.782,0.653,0.712,9.621912956237793
rzeszow,val,pv,661,2767,0.552,0.412,0.472,0.407,0.224,0.548,0.397,0.461,10.861693382263184
rzeszow,test,pv,8440,66301,0.578,0.384,0.462,0.398,0.215,0.572,0.364,0.445,72.30660247802734
pilot,test,pv,54,227,0.325,0.128,0.183,0.107,0.038,0.303,0.119,0.171,6.08569860458374
