dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.996,0.997,0.995,0.924,0.998,0.993,0.995,13.917451858520508
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.79,0.999,0.991,0.995,6.895691871643066
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.882,0.999,1.0,0.999,7.51145601272583
synth_old,train,pv,150,374,0.38,0.243,0.297,0.181,0.076,0.259,0.166,0.202,7.289262533187866
synth_old,val,pv,12,35,0.53,0.543,0.537,0.447,0.187,0.446,0.457,0.451,5.662555694580078
synth_old,test,pv,18,32,0.564,0.312,0.402,0.314,0.159,0.228,0.125,0.161,5.553481340408325
mix_synth_rzesz,train,pv,1449,2706,0.955,0.878,0.915,0.954,0.783,0.925,0.86,0.891,17.870795249938965
rzeszow,train,pv,435,1692,0.908,0.821,0.862,0.911,0.672,0.869,0.788,0.827,9.895813941955566
rzeszow,val,pv,661,2767,0.665,0.478,0.556,0.492,0.312,0.635,0.443,0.522,11.635442018508911
rzeszow,test,pv,8440,66301,0.631,0.415,0.501,0.445,0.261,0.606,0.389,0.474,73.17456126213074
pilot,test,pv,54,227,0.348,0.141,0.201,0.141,0.059,0.294,0.119,0.169,6.344503164291382
