dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.96,0.891,0.924,0.964,0.635,0.961,0.892,0.925,11.408259868621826
synth_new2,test,pv,114,114,0.957,0.895,0.925,0.962,0.487,0.957,0.895,0.925,6.475485563278198
synth_new1,test,pv,114,114,0.962,0.895,0.927,0.98,0.651,0.971,0.894,0.931,6.820762634277344
synth_old,train,pv,150,374,0.341,0.377,0.358,0.29,0.124,0.287,0.318,0.302,6.968175172805786
synth_old,val,pv,12,35,0.499,0.6,0.545,0.413,0.175,0.515,0.6,0.554,4.961231708526611
synth_old,test,pv,18,32,0.546,0.281,0.371,0.204,0.099,0.312,0.156,0.208,5.593963861465454
mix_synth_rzesz,train,pv,1449,2706,0.94,0.862,0.899,0.94,0.653,0.915,0.838,0.875,14.5604088306427
rzeszow,train,pv,435,1692,0.918,0.863,0.89,0.928,0.664,0.879,0.816,0.846,8.803946495056152
rzeszow,val,pv,661,2767,0.851,0.695,0.765,0.753,0.506,0.818,0.648,0.723,10.005841493606567
rzeszow,test,pv,8440,66301,0.879,0.807,0.841,0.876,0.543,0.851,0.763,0.804,54.82243251800537
pilot,test,pv,54,227,0.368,0.282,0.319,0.213,0.078,0.381,0.273,0.318,6.7506818771362305
