dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.981,0.967,0.974,0.988,0.722,0.979,0.965,0.972,14.750015258789062
synth_new2,val,pv,225,225,0.995,0.968,0.981,0.994,0.73,0.995,0.968,0.981,7.980642080307007
synth_new2,test,pv,114,114,0.989,0.982,0.986,0.995,0.596,0.989,0.982,0.986,7.325817584991455
synth_new1,train,pv,789,789,0.983,0.965,0.974,0.984,0.697,0.981,0.962,0.971,11.99144458770752
synth_new1,val,pv,225,225,0.992,0.973,0.983,0.993,0.721,0.992,0.973,0.983,8.491235256195068
synth_new1,test,pv,114,114,0.979,0.991,0.985,0.991,0.721,0.979,0.991,0.985,7.237313270568848
synth_old,train,pv,150,374,0.329,0.34,0.334,0.263,0.126,0.256,0.265,0.26,8.154691934585571
synth_old,val,pv,12,35,0.469,0.629,0.537,0.587,0.309,0.447,0.6,0.512,5.805090427398682
synth_old,test,pv,18,32,0.36,0.375,0.367,0.333,0.176,0.203,0.219,0.211,6.196789979934692
mix_synth_rzesz,train,pv,1449,2706,0.867,0.718,0.785,0.802,0.563,0.864,0.709,0.779,17.285683393478394
rzeszow,train,pv,435,1692,0.747,0.588,0.658,0.677,0.465,0.715,0.585,0.644,10.678178310394287
rzeszow,val,pv,661,2767,0.576,0.459,0.51,0.463,0.306,0.558,0.447,0.496,11.820013284683228
rzeszow,test,pv,8440,66301,0.564,0.395,0.465,0.403,0.229,0.554,0.382,0.452,75.24972867965698
pilot,test,pv,54,227,0.29,0.172,0.216,0.123,0.055,0.26,0.159,0.197,7.0735485553741455
