dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.351,0.657,0.457,0.408,0.185,8.599021434783936
synth_new2,val,pv,225,225,0.302,0.653,0.413,0.397,0.18,5.602531671524048
synth_new2,test,pv,114,114,0.358,0.614,0.453,0.411,0.167,5.392225742340088
synth_new1,train,pv,789,789,0.352,0.631,0.452,0.406,0.182,8.757951736450195
synth_new1,val,pv,225,225,0.34,0.68,0.453,0.413,0.179,5.724909067153931
synth_new1,test,pv,114,114,0.329,0.7,0.447,0.44,0.207,5.074530124664307
synth_old,train,pv,150,374,0.469,0.39,0.426,0.333,0.152,5.642524242401123
synth_old,val,pv,12,35,0.719,0.513,0.599,0.517,0.259,4.167061805725098
synth_old,test,pv,18,32,0.266,0.344,0.3,0.147,0.07,4.3814451694488525
mix_synth_rzesz,train,pv,1449,2706,0.764,0.602,0.673,0.741,0.468,11.868933916091919
rzeszow,train,pv,435,1692,0.844,0.816,0.83,0.87,0.598,6.927879333496094
rzeszow,val,pv,661,2767,0.788,0.643,0.708,0.701,0.445,7.532698392868042
rzeszow,test,pv,8440,66301,0.829,0.727,0.775,0.808,0.479,39.399935245513916
pilot,test,pv,54,227,0.322,0.273,0.296,0.24,0.089,5.035876274108887
