dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.996,0.988,0.992,0.995,0.887,0.994,0.986,0.99,11.305113554000854
synth_new2,test,pv,114,114,0.969,0.947,0.958,0.982,0.687,0.951,0.93,0.94,6.824864387512207
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.878,0.999,1.0,0.999,8.236693620681763
synth_old,train,pv,150,374,0.312,0.243,0.273,0.197,0.082,0.285,0.211,0.243,7.396570205688477
synth_old,val,pv,12,35,0.634,0.457,0.531,0.444,0.192,0.596,0.429,0.499,5.58835506439209
synth_old,test,pv,18,32,0.276,0.219,0.244,0.17,0.083,0.207,0.125,0.156,5.792158603668213
mix_synth_rzesz,train,pv,1449,2706,0.984,0.965,0.975,0.987,0.864,0.974,0.935,0.954,13.894020080566406
rzeszow,train,pv,435,1692,0.973,0.956,0.964,0.984,0.85,0.962,0.905,0.933,9.332983016967773
rzeszow,val,pv,661,2767,0.858,0.727,0.787,0.777,0.552,0.836,0.69,0.756,9.97583532333374
rzeszow,test,pv,8440,66301,0.906,0.848,0.876,0.916,0.618,0.888,0.803,0.843,57.59867596626282
pilot,test,pv,54,227,0.251,0.211,0.229,0.123,0.051,0.315,0.181,0.23,7.192401647567749
