dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.986,0.992,0.995,0.896,0.998,0.986,0.992,10.807998657226562
synth_new2,test,pv,114,114,0.999,0.982,0.991,0.995,0.718,0.999,0.982,0.991,6.731030225753784
synth_new1,test,pv,114,114,0.998,1.0,0.999,0.995,0.88,0.998,1.0,0.999,7.206211090087891
synth_old,train,pv,150,374,0.312,0.249,0.277,0.167,0.063,0.298,0.227,0.258,6.953832149505615
synth_old,val,pv,12,35,0.821,0.4,0.538,0.482,0.208,0.821,0.4,0.538,5.0623369216918945
synth_old,test,pv,18,32,0.346,0.156,0.215,0.124,0.07,0.459,0.094,0.156,5.2888383865356445
mix_synth_rzesz,train,pv,1449,2706,0.96,0.946,0.953,0.978,0.814,0.937,0.913,0.925,14.689896821975708
rzeszow,train,pv,435,1692,0.943,0.924,0.933,0.964,0.756,0.894,0.877,0.886,9.378865957260132
rzeszow,val,pv,661,2767,0.826,0.688,0.751,0.727,0.484,0.795,0.648,0.714,10.392825365066528
rzeszow,test,pv,8440,66301,0.872,0.76,0.812,0.847,0.532,0.843,0.712,0.772,55.8364372253418
pilot,test,pv,54,227,0.251,0.181,0.21,0.116,0.048,0.345,0.181,0.237,6.621490478515625
