dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.996,0.98,0.988,0.994,0.867,0.995,0.979,0.987,10.711438417434692
synth_new2,test,pv,114,114,0.991,0.982,0.987,0.994,0.697,0.973,0.965,0.969,6.338234186172485
synth_new1,test,pv,114,114,1.0,0.999,0.999,0.995,0.875,1.0,0.999,0.999,6.6301655769348145
synth_old,train,pv,150,374,0.329,0.225,0.267,0.192,0.076,0.284,0.198,0.233,6.836012601852417
synth_old,val,pv,12,35,0.755,0.371,0.498,0.491,0.216,0.755,0.371,0.498,5.010376930236816
synth_old,test,pv,18,32,0.431,0.219,0.29,0.179,0.1,0.435,0.156,0.23,5.223134756088257
mix_synth_rzesz,train,pv,1449,2706,0.969,0.963,0.966,0.983,0.824,0.965,0.919,0.941,14.326478004455566
rzeszow,train,pv,435,1692,0.957,0.951,0.954,0.977,0.797,0.942,0.884,0.912,8.795674085617065
rzeszow,val,pv,661,2767,0.855,0.741,0.794,0.782,0.561,0.873,0.692,0.772,9.999543905258179
rzeszow,test,pv,8440,66301,0.928,0.876,0.901,0.937,0.631,0.913,0.829,0.869,54.28164553642273
pilot,test,pv,54,227,0.286,0.233,0.257,0.152,0.063,0.237,0.247,0.242,6.494598388671875
