dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.992,0.996,0.995,0.887,0.999,0.992,0.996,14.651757001876831
synth_new2,test,pv,114,114,0.991,0.99,0.99,0.995,0.699,0.991,0.99,0.99,6.942015886306763
synth_new1,test,pv,114,114,0.999,0.991,0.995,0.995,0.849,0.999,0.991,0.995,7.26817774772644
synth_old,train,pv,150,374,0.367,0.211,0.268,0.175,0.081,0.348,0.155,0.215,7.442927122116089
synth_old,val,pv,12,35,0.767,0.486,0.595,0.561,0.295,0.767,0.486,0.595,5.614049434661865
synth_old,test,pv,18,32,0.283,0.25,0.266,0.188,0.094,0.198,0.219,0.208,5.75986123085022
mix_synth_rzesz,train,pv,1449,2706,0.93,0.833,0.879,0.925,0.731,0.933,0.801,0.862,18.177363634109497
rzeszow,train,pv,435,1692,0.851,0.761,0.803,0.861,0.616,0.847,0.716,0.776,10.117440938949585
rzeszow,val,pv,661,2767,0.706,0.47,0.564,0.512,0.327,0.676,0.45,0.54,12.086300134658813
rzeszow,test,pv,8440,66301,0.626,0.426,0.507,0.442,0.259,0.617,0.405,0.489,75.71443319320679
pilot,test,pv,54,227,0.089,0.233,0.129,0.11,0.04,0.089,0.233,0.129,6.8028929233551025
