dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.989,0.993,0.995,0.899,0.998,0.989,0.993,10.70658254623413
synth_new2,test,pv,114,114,0.999,0.982,0.99,0.99,0.711,0.99,0.974,0.982,6.306910037994385
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.882,0.999,1.0,0.999,6.81892466545105
synth_old,train,pv,150,374,0.36,0.195,0.253,0.152,0.054,0.311,0.168,0.218,6.9471049308776855
synth_old,val,pv,12,35,0.448,0.4,0.423,0.324,0.13,0.448,0.4,0.423,5.059002876281738
synth_old,test,pv,18,32,0.238,0.156,0.189,0.072,0.039,0.213,0.094,0.13,5.251803636550903
mix_synth_rzesz,train,pv,1449,2706,0.961,0.936,0.948,0.976,0.801,0.935,0.905,0.92,13.380346775054932
rzeszow,train,pv,435,1692,0.936,0.905,0.92,0.957,0.732,0.895,0.854,0.874,8.932790279388428
rzeszow,val,pv,661,2767,0.799,0.657,0.721,0.706,0.45,0.776,0.619,0.688,9.738211154937744
rzeszow,test,pv,8440,66301,0.856,0.742,0.795,0.831,0.512,0.836,0.693,0.757,55.33482813835144
pilot,test,pv,54,227,0.26,0.184,0.215,0.11,0.046,0.266,0.185,0.218,6.597271203994751
