dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.997,0.98,0.988,0.994,0.896,0.997,0.98,0.988,11.16847848892212
synth_new2,test,pv,114,114,0.982,0.982,0.982,0.994,0.71,0.982,0.982,0.982,7.043474197387695
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.895,0.999,1.0,0.999,8.083348035812378
synth_old,train,pv,150,374,0.327,0.254,0.286,0.213,0.091,0.289,0.217,0.248,7.352519273757935
synth_old,val,pv,12,35,0.512,0.371,0.431,0.407,0.18,0.367,0.4,0.383,5.65508508682251
synth_old,test,pv,18,32,0.379,0.219,0.278,0.195,0.094,0.23,0.094,0.133,5.878067493438721
mix_synth_rzesz,train,pv,1449,2706,0.971,0.967,0.969,0.985,0.863,0.972,0.924,0.948,15.039361238479614
rzeszow,train,pv,435,1692,0.965,0.959,0.962,0.982,0.845,0.933,0.916,0.925,9.321662425994873
rzeszow,val,pv,661,2767,0.853,0.705,0.772,0.756,0.526,0.833,0.681,0.749,9.862653970718384
rzeszow,test,pv,8440,66301,0.897,0.825,0.859,0.897,0.593,0.876,0.778,0.825,54.51502203941345
pilot,test,pv,54,227,0.312,0.238,0.27,0.182,0.076,0.327,0.247,0.281,7.124596357345581
