dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.984,0.946,0.964,0.979,0.735,0.984,0.946,0.964,11.212144613265991
synth_new2,test,pv,114,114,0.977,0.939,0.957,0.981,0.628,0.977,0.939,0.957,6.600956678390503
synth_new1,test,pv,114,114,0.972,0.982,0.977,0.993,0.73,0.972,0.982,0.977,6.605079174041748
synth_old,train,pv,150,374,0.356,0.209,0.263,0.201,0.085,0.319,0.174,0.225,6.784630298614502
synth_old,val,pv,12,35,0.636,0.457,0.532,0.459,0.206,0.674,0.457,0.545,4.861684083938599
synth_old,test,pv,18,32,0.649,0.156,0.252,0.172,0.102,0.517,0.125,0.201,5.110387802124023
mix_synth_rzesz,train,pv,1449,2706,0.932,0.911,0.921,0.947,0.697,0.936,0.863,0.898,14.031981945037842
rzeszow,train,pv,435,1692,0.925,0.887,0.906,0.932,0.679,0.885,0.842,0.863,8.412992477416992
rzeszow,val,pv,661,2767,0.863,0.753,0.804,0.794,0.558,0.879,0.707,0.784,9.379127502441406
rzeszow,test,pv,8440,66301,0.943,0.89,0.916,0.944,0.607,0.925,0.851,0.887,58.81147241592407
pilot,test,pv,54,227,0.243,0.273,0.257,0.162,0.061,0.23,0.26,0.244,6.390331745147705
