dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.953,0.9,0.926,0.963,0.574,8.507803201675415
synth_new2,val,pv,225,225,0.904,0.919,0.911,0.962,0.587,5.581080198287964
synth_new2,test,pv,114,114,0.904,0.911,0.908,0.924,0.507,5.121704339981079
synth_new1,train,pv,789,789,0.933,0.913,0.923,0.957,0.564,8.529281377792358
synth_new1,val,pv,225,225,0.935,0.898,0.916,0.953,0.564,5.6206817626953125
synth_new1,test,pv,114,114,0.963,0.912,0.937,0.972,0.587,5.187154531478882
synth_old,train,pv,150,374,0.41,0.307,0.351,0.286,0.101,5.417285203933716
synth_old,val,pv,12,35,0.503,0.543,0.522,0.5,0.219,4.359322786331177
synth_old,test,pv,18,32,0.244,0.188,0.212,0.12,0.051,4.6550867557525635
mix_synth_rzesz,train,pv,1449,2706,0.775,0.652,0.708,0.741,0.405,11.34449291229248
rzeszow,train,pv,435,1692,0.644,0.529,0.581,0.568,0.287,6.933838367462158
rzeszow,val,pv,661,2767,0.519,0.384,0.441,0.398,0.177,7.320124626159668
rzeszow,test,pv,8440,66301,0.581,0.451,0.508,0.47,0.201,36.92866039276123
pilot,test,pv,54,227,0.304,0.154,0.205,0.125,0.029,5.224871873855591
