dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.946,0.888,0.916,0.949,0.546,8.224129676818848
synth_new2,val,pv,225,225,0.956,0.871,0.912,0.952,0.557,5.473566293716431
synth_new2,test,pv,114,114,0.951,0.789,0.863,0.898,0.48,4.92961311340332
synth_new1,train,pv,789,789,0.936,0.892,0.913,0.948,0.538,7.366235017776489
synth_new1,val,pv,225,225,0.955,0.84,0.894,0.93,0.535,5.443912744522095
synth_new1,test,pv,114,114,0.936,0.921,0.928,0.948,0.559,4.8398730754852295
synth_old,train,pv,150,374,0.361,0.278,0.314,0.201,0.068,5.084510564804077
synth_old,val,pv,12,35,0.504,0.522,0.513,0.445,0.169,4.051827907562256
synth_old,test,pv,18,32,0.154,0.125,0.138,0.056,0.028,4.281949996948242
mix_synth_rzesz,train,pv,1449,2706,0.754,0.62,0.68,0.713,0.377,10.089243650436401
rzeszow,train,pv,435,1692,0.559,0.511,0.534,0.504,0.242,6.734745025634766
rzeszow,val,pv,661,2767,0.517,0.381,0.439,0.376,0.16,7.360865831375122
rzeszow,test,pv,8440,66301,0.521,0.423,0.467,0.421,0.178,38.9041645526886
pilot,test,pv,54,227,0.346,0.185,0.241,0.149,0.041,5.055758714675903
