dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.993,0.984,0.989,0.994,0.868,0.994,0.979,0.987,11.159857273101807
synth_new2,test,pv,114,114,0.989,0.982,0.986,0.994,0.648,0.98,0.974,0.977,6.713329315185547
synth_new1,test,pv,114,114,0.999,0.991,0.995,0.995,0.857,0.999,0.991,0.995,7.7563395500183105
synth_old,train,pv,150,374,0.308,0.209,0.249,0.181,0.078,0.261,0.194,0.222,7.045450687408447
synth_old,val,pv,12,35,0.532,0.486,0.508,0.499,0.231,0.532,0.486,0.508,5.35979437828064
synth_old,test,pv,18,32,0.31,0.219,0.256,0.169,0.088,0.374,0.125,0.187,5.33478569984436
mix_synth_rzesz,train,pv,1449,2706,0.971,0.956,0.964,0.983,0.825,0.959,0.922,0.94,13.574682712554932
rzeszow,train,pv,435,1692,0.959,0.942,0.951,0.978,0.799,0.929,0.9,0.914,9.185921430587769
rzeszow,val,pv,661,2767,0.869,0.732,0.795,0.779,0.558,0.875,0.69,0.771,9.893964767456055
rzeszow,test,pv,8440,66301,0.93,0.874,0.901,0.935,0.629,0.909,0.834,0.87,54.91485857963562
pilot,test,pv,54,227,0.317,0.198,0.244,0.152,0.064,0.288,0.181,0.222,6.61870002746582
