dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.991,0.988,0.989,0.995,0.894,0.989,0.986,0.987,11.425790548324585
synth_new2,test,pv,114,114,0.991,0.928,0.958,0.983,0.702,0.972,0.91,0.94,7.118201494216919
synth_new1,test,pv,114,114,1.0,0.999,1.0,0.995,0.875,1.0,0.999,1.0,8.77506422996521
synth_old,train,pv,150,374,0.386,0.238,0.294,0.205,0.086,0.339,0.209,0.258,7.557773113250732
synth_old,val,pv,12,35,0.523,0.514,0.519,0.449,0.188,0.575,0.429,0.491,5.751150846481323
synth_old,test,pv,18,32,0.268,0.219,0.241,0.171,0.096,0.221,0.125,0.16,5.908549785614014
mix_synth_rzesz,train,pv,1449,2706,0.979,0.966,0.972,0.987,0.871,0.969,0.939,0.954,14.88533329963684
rzeszow,train,pv,435,1692,0.971,0.955,0.963,0.983,0.857,0.956,0.914,0.934,9.530760765075684
rzeszow,val,pv,661,2767,0.869,0.712,0.782,0.778,0.552,0.843,0.674,0.749,10.093218803405762
rzeszow,test,pv,8440,66301,0.9,0.84,0.869,0.912,0.615,0.884,0.795,0.837,59.40914535522461
pilot,test,pv,54,227,0.244,0.2,0.22,0.129,0.055,0.262,0.207,0.231,7.319195985794067
