dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.977,0.946,0.961,0.977,0.701,0.974,0.942,0.958,11.51855993270874
synth_new2,val,pv,225,225,0.959,0.937,0.948,0.984,0.714,0.954,0.932,0.943,7.789960861206055
synth_new2,test,pv,114,114,0.947,0.945,0.946,0.984,0.57,0.948,0.93,0.939,8.248374938964844
synth_new1,train,pv,789,789,0.971,0.936,0.953,0.973,0.688,0.969,0.933,0.951,10.406946182250977
synth_new1,val,pv,225,225,0.979,0.938,0.958,0.99,0.687,0.979,0.938,0.958,7.61515474319458
synth_new1,test,pv,114,114,0.96,0.982,0.971,0.993,0.71,0.96,0.982,0.971,7.467838287353516
synth_old,train,pv,150,374,0.363,0.291,0.323,0.264,0.109,0.313,0.249,0.277,7.430404186248779
synth_old,val,pv,12,35,0.723,0.457,0.56,0.439,0.201,0.723,0.457,0.56,5.753324270248413
synth_old,test,pv,18,32,0.568,0.188,0.282,0.184,0.1,0.163,0.156,0.159,5.821779012680054
mix_synth_rzesz,train,pv,1449,2706,0.952,0.925,0.938,0.967,0.732,0.932,0.893,0.912,15.149302959442139
rzeszow,train,pv,435,1692,0.939,0.91,0.924,0.961,0.747,0.907,0.865,0.886,9.438512086868286
rzeszow,val,pv,661,2767,0.859,0.727,0.788,0.776,0.55,0.866,0.681,0.762,10.110931873321533
rzeszow,test,pv,8440,66301,0.917,0.846,0.88,0.915,0.613,0.91,0.813,0.859,54.454901933670044
pilot,test,pv,54,227,0.406,0.241,0.302,0.232,0.097,0.389,0.241,0.298,7.251508951187134
