dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.995,0.974,0.984,0.989,0.823,0.995,0.974,0.984,11.671066522598267
synth_new2,test,pv,114,114,0.973,0.935,0.953,0.955,0.609,0.99,0.947,0.968,6.5830981731414795
synth_new1,test,pv,114,114,0.999,0.982,0.99,0.995,0.796,0.999,0.982,0.99,7.493861436843872
synth_old,train,pv,150,374,0.428,0.222,0.292,0.189,0.06,0.378,0.198,0.26,6.938782215118408
synth_old,val,pv,12,35,0.455,0.286,0.351,0.239,0.099,0.547,0.277,0.367,5.133085012435913
synth_old,test,pv,18,32,0.479,0.188,0.27,0.155,0.1,0.323,0.125,0.18,5.2794859409332275
mix_synth_rzesz,train,pv,1449,2706,0.93,0.854,0.89,0.912,0.695,0.924,0.839,0.879,13.64624285697937
rzeszow,train,pv,435,1692,0.878,0.789,0.831,0.858,0.612,0.871,0.764,0.814,8.900243043899536
rzeszow,val,pv,661,2767,0.749,0.546,0.632,0.582,0.341,0.727,0.51,0.6,9.5178701877594
rzeszow,test,pv,8440,66301,0.756,0.544,0.633,0.614,0.347,0.741,0.515,0.608,60.370697021484375
pilot,test,pv,54,227,0.212,0.207,0.21,0.124,0.046,0.281,0.137,0.184,6.726473569869995
