dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.995,0.984,0.99,0.994,0.898,0.994,0.983,0.989,14.440751075744629
synth_new2,val,pv,225,225,0.987,0.999,0.993,0.993,0.899,0.987,0.999,0.993,8.375879526138306
synth_new2,test,pv,114,114,1.0,0.99,0.995,0.995,0.739,1.0,0.99,0.995,9.806266784667969
synth_new1,train,pv,789,789,0.996,0.982,0.989,0.99,0.877,0.996,0.982,0.989,29.741021633148193
synth_new1,val,pv,225,225,0.995,0.987,0.991,0.995,0.878,0.997,0.982,0.99,13.18752408027649
synth_new1,test,pv,114,114,0.998,1.0,0.999,0.995,0.87,0.998,1.0,0.999,9.731711626052856
synth_old,train,pv,150,374,0.438,0.38,0.407,0.291,0.141,0.366,0.316,0.339,10.770057678222656
synth_old,val,pv,12,35,0.642,0.563,0.6,0.611,0.314,0.609,0.535,0.57,6.126562118530273
synth_old,test,pv,18,32,0.436,0.25,0.318,0.235,0.128,0.178,0.281,0.218,6.197715759277344
mix_synth_rzesz,train,pv,1449,2706,0.945,0.843,0.891,0.929,0.744,0.941,0.827,0.88,17.82707905769348
rzeszow,train,pv,435,1692,0.883,0.781,0.829,0.875,0.645,0.898,0.736,0.809,10.132608413696289
rzeszow,val,pv,661,2767,0.659,0.479,0.555,0.509,0.34,0.657,0.462,0.543,11.388847827911377
rzeszow,test,pv,8440,66301,0.611,0.439,0.511,0.458,0.269,0.599,0.425,0.497,169.0577380657196
pilot,test,pv,54,227,0.345,0.26,0.296,0.201,0.095,0.292,0.2,0.238,8.947856426239014
