dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.992,0.977,0.985,0.993,0.828,8.17922830581665
synth_new2,val,pv,225,225,0.988,0.991,0.99,0.995,0.836,5.382248878479004
synth_new2,test,pv,114,114,0.971,0.965,0.968,0.972,0.708,4.892457962036133
synth_new1,train,pv,789,789,0.989,0.975,0.982,0.986,0.812,8.548602104187012
synth_new1,val,pv,225,225,0.992,0.969,0.98,0.991,0.814,5.2719032764434814
synth_new1,test,pv,114,114,0.991,0.979,0.985,0.994,0.828,4.819403648376465
synth_old,train,pv,150,374,0.496,0.299,0.373,0.294,0.126,5.161973714828491
synth_old,val,pv,12,35,0.87,0.429,0.574,0.534,0.269,3.9329171180725098
synth_old,test,pv,18,32,0.152,0.25,0.189,0.134,0.069,4.589321851730347
mix_synth_rzesz,train,pv,1449,2706,0.936,0.893,0.914,0.949,0.725,9.799341440200806
rzeszow,train,pv,435,1692,0.906,0.846,0.875,0.914,0.65,6.8522138595581055
rzeszow,val,pv,661,2767,0.77,0.621,0.687,0.67,0.415,7.272046327590942
rzeszow,test,pv,8440,66301,0.817,0.674,0.738,0.756,0.445,38.58763670921326
pilot,test,pv,54,227,0.396,0.22,0.283,0.178,0.067,5.065675258636475
