dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.666,0.674,0.67,0.656,0.265,9.14543604850769
synth_new2,val,pv,225,225,0.602,0.64,0.62,0.598,0.247,6.02468466758728
synth_new2,test,pv,114,114,0.73,0.711,0.72,0.71,0.307,5.153985500335693
synth_new1,train,pv,789,789,0.669,0.692,0.68,0.658,0.271,9.16712760925293
synth_new1,val,pv,225,225,0.667,0.613,0.639,0.673,0.261,5.863070964813232
synth_new1,test,pv,114,114,0.68,0.719,0.699,0.656,0.263,5.49398946762085
synth_old,train,pv,150,374,0.507,0.428,0.464,0.394,0.187,5.456742286682129
synth_old,val,pv,12,35,0.717,0.543,0.618,0.613,0.312,4.119906425476074
synth_old,test,pv,18,32,0.322,0.438,0.371,0.255,0.134,4.927944183349609
mix_synth_rzesz,train,pv,1449,2706,0.765,0.744,0.754,0.776,0.439,11.403773784637451
rzeszow,train,pv,435,1692,0.845,0.77,0.805,0.829,0.534,7.448072195053101
rzeszow,val,pv,661,2767,0.819,0.65,0.725,0.712,0.457,7.6302549839019775
rzeszow,test,pv,8440,66301,0.86,0.741,0.796,0.836,0.499,41.18803882598877
pilot,test,pv,54,227,0.483,0.269,0.345,0.262,0.105,5.1473212242126465
