dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.991,0.976,0.984,0.994,0.821,7.9126667976379395
synth_new2,val,pv,225,225,0.991,0.979,0.985,0.995,0.819,5.195626974105835
synth_new2,test,pv,114,114,0.981,0.956,0.969,0.971,0.653,4.905660629272461
synth_new1,train,pv,789,789,0.995,0.973,0.984,0.989,0.798,8.599173307418823
synth_new1,val,pv,225,225,0.982,0.987,0.984,0.988,0.793,5.209623575210571
synth_new1,test,pv,114,114,1.0,0.99,0.995,0.995,0.825,4.925175428390503
synth_old,train,pv,150,374,0.449,0.316,0.37,0.274,0.118,5.1533589363098145
synth_old,val,pv,12,35,0.637,0.551,0.591,0.542,0.249,3.9164352416992188
synth_old,test,pv,18,32,0.204,0.25,0.225,0.16,0.081,4.295276165008545
mix_synth_rzesz,train,pv,1449,2706,0.935,0.896,0.915,0.947,0.724,10.926144123077393
rzeszow,train,pv,435,1692,0.903,0.856,0.879,0.912,0.655,6.654482841491699
rzeszow,val,pv,661,2767,0.768,0.617,0.684,0.671,0.42,7.087832927703857
rzeszow,test,pv,8440,66301,0.816,0.684,0.744,0.762,0.444,40.49142122268677
pilot,test,pv,54,227,0.264,0.211,0.235,0.164,0.052,5.031526803970337
