dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.99,0.986,0.988,0.994,0.866,0.99,0.986,0.988,10.849833965301514
synth_new2,test,pv,114,114,1.0,0.973,0.986,0.994,0.681,0.991,0.964,0.977,6.624666213989258
synth_new1,test,pv,114,114,0.991,1.0,0.996,0.995,0.84,0.991,1.0,0.996,7.488225936889648
synth_old,train,pv,150,374,0.238,0.243,0.241,0.181,0.078,0.299,0.171,0.218,6.9851837158203125
synth_old,val,pv,12,35,0.405,0.39,0.397,0.352,0.15,0.405,0.39,0.397,5.204888820648193
synth_old,test,pv,18,32,0.359,0.188,0.246,0.155,0.066,0.176,0.094,0.122,5.392815351486206
mix_synth_rzesz,train,pv,1449,2706,0.968,0.943,0.955,0.978,0.798,0.944,0.909,0.926,14.644015550613403
rzeszow,train,pv,435,1692,0.951,0.921,0.936,0.965,0.755,0.906,0.869,0.887,8.979350805282593
rzeszow,val,pv,661,2767,0.853,0.692,0.764,0.742,0.507,0.826,0.654,0.73,9.70707893371582
rzeszow,test,pv,8440,66301,0.899,0.812,0.853,0.892,0.583,0.873,0.772,0.82,54.58074641227722
pilot,test,pv,54,227,0.377,0.185,0.248,0.177,0.075,0.385,0.189,0.254,6.423142671585083
