dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.981,0.951,0.966,0.978,0.737,0.981,0.951,0.966,11.338022708892822
synth_new2,test,pv,114,114,0.97,0.947,0.959,0.981,0.637,0.97,0.947,0.959,6.2792887687683105
synth_new1,test,pv,114,114,0.973,0.982,0.978,0.993,0.734,0.973,0.982,0.978,7.1930317878723145
synth_old,train,pv,150,374,0.254,0.267,0.261,0.201,0.086,0.31,0.187,0.233,6.772196292877197
synth_old,val,pv,12,35,0.75,0.429,0.545,0.453,0.198,0.75,0.429,0.545,5.024290323257446
synth_old,test,pv,18,32,0.41,0.219,0.285,0.178,0.107,0.336,0.156,0.213,5.199118614196777
mix_synth_rzesz,train,pv,1449,2706,0.939,0.906,0.922,0.947,0.697,0.931,0.871,0.9,13.512933015823364
rzeszow,train,pv,435,1692,0.923,0.889,0.906,0.932,0.68,0.888,0.838,0.862,8.377311706542969
rzeszow,val,pv,661,2767,0.872,0.748,0.805,0.794,0.558,0.869,0.712,0.783,9.45482087135315
rzeszow,test,pv,8440,66301,0.944,0.888,0.915,0.944,0.606,0.925,0.85,0.886,60.83289122581482
pilot,test,pv,54,227,0.24,0.295,0.264,0.165,0.064,0.222,0.273,0.245,6.384126663208008
