dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.992,0.995,0.995,0.907,0.998,0.991,0.995,14.349297761917114
synth_new2,val,pv,225,225,1.0,0.995,0.998,0.995,0.895,1.0,0.995,0.998,7.670940399169922
synth_new2,test,pv,114,114,0.999,0.982,0.991,0.995,0.757,0.999,0.982,0.991,7.344888687133789
synth_new1,train,pv,789,789,0.999,0.99,0.994,0.995,0.884,0.999,0.99,0.994,12.348366498947144
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.902,0.999,0.996,0.997,8.258887767791748
synth_new1,test,pv,114,114,1.0,0.991,0.995,0.995,0.882,1.0,0.991,0.995,7.198670864105225
synth_old,train,pv,150,374,0.295,0.171,0.216,0.132,0.058,0.23,0.112,0.151,7.794182777404785
synth_old,val,pv,12,35,0.608,0.486,0.54,0.536,0.273,0.586,0.486,0.531,5.563235282897949
synth_old,test,pv,18,32,0.63,0.281,0.389,0.285,0.173,0.556,0.25,0.345,5.725936412811279
mix_synth_rzesz,train,pv,1449,2706,0.927,0.864,0.895,0.93,0.751,0.929,0.846,0.885,16.908220767974854
rzeszow,train,pv,435,1692,0.877,0.79,0.831,0.871,0.639,0.871,0.772,0.819,10.678003311157227
rzeszow,val,pv,661,2767,0.657,0.467,0.546,0.478,0.306,0.635,0.451,0.527,11.66202712059021
rzeszow,test,pv,8440,66301,0.619,0.412,0.495,0.431,0.255,0.605,0.391,0.475,78.33068490028381
pilot,test,pv,54,227,0.151,0.088,0.111,0.058,0.027,0.103,0.062,0.077,6.959965229034424
