dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.987,0.953,0.969,0.988,0.736,8.735254764556885
synth_new2,val,pv,225,225,0.993,0.96,0.976,0.992,0.74,5.4188854694366455
synth_new2,test,pv,114,114,0.953,0.947,0.95,0.955,0.593,4.84939980506897
synth_new1,train,pv,789,789,0.986,0.954,0.969,0.982,0.718,8.588029384613037
synth_new1,val,pv,225,225,0.988,0.951,0.969,0.992,0.725,5.382663011550903
synth_new1,test,pv,114,114,0.991,0.98,0.985,0.994,0.734,5.1837522983551025
synth_old,train,pv,150,374,0.525,0.356,0.424,0.335,0.148,5.239559888839722
synth_old,val,pv,12,35,0.804,0.486,0.606,0.603,0.282,3.926053285598755
synth_old,test,pv,18,32,0.256,0.25,0.253,0.159,0.073,4.197797536849976
mix_synth_rzesz,train,pv,1449,2706,0.918,0.884,0.901,0.927,0.669,9.872648239135742
rzeszow,train,pv,435,1692,0.881,0.839,0.859,0.888,0.629,6.295498609542847
rzeszow,val,pv,661,2767,0.813,0.677,0.739,0.729,0.484,7.01564359664917
rzeszow,test,pv,8440,66301,0.872,0.765,0.815,0.846,0.508,40.79866051673889
pilot,test,pv,54,227,0.293,0.248,0.269,0.174,0.058,4.743401288986206
