dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.925551652908325
synth_new2,test,pv,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.450628280639648
synth_new1,test,pv,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5677807331085205
synth_old,train,pv,150,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.910690546035767
synth_old,val,pv,12,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.589660882949829
synth_old,test,pv,18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858997821807861
mix_synth_rzesz,train,pv,1449,2706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.238567352294922
rzeszow,train,pv,435,1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.934316158294678
rzeszow,val,pv,661,2767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9930689334869385
rzeszow,test,pv,8440,66301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.860976934432983
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.432764053344727
