dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.989,0.982,0.985,0.993,0.878,0.989,0.982,0.985,10.834689617156982
synth_new2,test,pv,114,114,0.971,0.982,0.977,0.994,0.687,0.963,0.974,0.968,6.3154847621917725
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.869,0.999,1.0,0.999,7.9299726486206055
synth_old,train,pv,150,374,0.327,0.267,0.294,0.227,0.099,0.268,0.225,0.244,7.238614559173584
synth_old,val,pv,12,35,0.703,0.338,0.456,0.428,0.193,0.703,0.338,0.456,5.1112189292907715
synth_old,test,pv,18,32,0.374,0.25,0.3,0.195,0.081,0.186,0.125,0.15,5.265365362167358
mix_synth_rzesz,train,pv,1449,2706,0.969,0.96,0.965,0.983,0.852,0.96,0.93,0.945,14.506951332092285
rzeszow,train,pv,435,1692,0.953,0.952,0.953,0.978,0.837,0.942,0.901,0.921,9.308807611465454
rzeszow,val,pv,661,2767,0.86,0.721,0.784,0.761,0.53,0.834,0.694,0.757,10.248960733413696
rzeszow,test,pv,8440,66301,0.897,0.84,0.868,0.906,0.601,0.881,0.793,0.834,53.87534427642822
pilot,test,pv,54,227,0.272,0.225,0.246,0.184,0.075,0.382,0.261,0.31,6.536608457565308
