dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.986,0.984,0.985,0.993,0.788,0.986,0.984,0.985,11.770227432250977
synth_new2,test,pv,114,114,0.963,0.982,0.973,0.991,0.599,0.963,0.982,0.973,14.035372257232666
synth_new1,test,pv,114,114,1.0,0.998,0.999,0.995,0.77,1.0,0.998,0.999,14.951982736587524
synth_old,train,pv,150,374,0.295,0.182,0.225,0.143,0.057,0.264,0.163,0.202,14.254734754562378
synth_old,val,pv,12,35,0.357,0.314,0.334,0.258,0.086,0.357,0.314,0.334,6.175551652908325
synth_old,test,pv,18,32,0.267,0.188,0.22,0.098,0.06,0.157,0.125,0.139,6.624249696731567
mix_synth_rzesz,train,pv,1449,2706,0.921,0.885,0.903,0.946,0.694,0.914,0.868,0.891,13.798030614852905
rzeszow,train,pv,435,1692,0.865,0.842,0.853,0.906,0.632,0.861,0.811,0.835,9.245534181594849
rzeszow,val,pv,661,2767,0.736,0.594,0.657,0.619,0.367,0.709,0.563,0.628,9.58173131942749
rzeszow,test,pv,8440,66301,0.772,0.611,0.682,0.682,0.397,0.754,0.572,0.65,331.95669984817505
pilot,test,pv,54,227,0.213,0.106,0.141,0.071,0.033,0.171,0.101,0.127,11.339758157730103
