dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.003,0.993,0.007,0.932,0.602,0.003,0.988,0.007,24.56954574584961
synth_new2,val,pv,225,225,0.003,1.0,0.007,0.928,0.612,0.003,0.996,0.007,11.481059312820435
synth_new2,test,pv,114,114,0.003,0.974,0.006,0.941,0.518,0.003,0.991,0.007,13.148956537246704
synth_new1,train,pv,789,789,0.003,0.99,0.007,0.931,0.585,0.003,0.985,0.007,27.61862087249756
synth_new1,val,pv,225,225,0.003,0.996,0.007,0.928,0.6,0.003,0.991,0.007,12.208509683609009
synth_new1,test,pv,114,114,0.003,0.991,0.007,0.966,0.63,0.003,1.0,0.007,12.504099369049072
synth_old,train,pv,150,374,0.005,0.655,0.011,0.102,0.035,0.005,0.61,0.01,14.970898866653442
synth_old,val,pv,12,35,0.008,0.8,0.015,0.133,0.048,0.008,0.857,0.017,10.008428573608398
synth_old,test,pv,18,32,0.004,0.656,0.008,0.135,0.055,0.004,0.656,0.008,10.29565954208374
mix_synth_rzesz,train,pv,1449,2706,0.005,0.809,0.01,0.499,0.295,0.005,0.745,0.009,32.87404537200928
rzeszow,train,pv,435,1692,0.009,0.698,0.018,0.176,0.075,0.008,0.599,0.015,17.754268884658813
rzeszow,val,pv,661,2767,0.008,0.589,0.016,0.101,0.037,0.007,0.502,0.014,20.823349952697754
rzeszow,test,pv,8440,66301,0.015,0.574,0.029,0.139,0.051,0.011,0.434,0.022,106.35296750068665
pilot,test,pv,54,227,0.005,0.352,0.01,0.042,0.014,0.005,0.348,0.009,7.86630916595459
