dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.717,0.679,0.698,0.687,0.259,9.193392753601074
synth_new2,val,pv,225,225,0.694,0.609,0.649,0.646,0.239,6.136659145355225
synth_new2,test,pv,114,114,0.737,0.639,0.685,0.649,0.269,5.512939214706421
synth_new1,train,pv,789,789,0.734,0.7,0.716,0.68,0.261,9.12235975265503
synth_new1,val,pv,225,225,0.75,0.551,0.635,0.653,0.241,5.83759880065918
synth_new1,test,pv,114,114,0.7,0.695,0.698,0.696,0.255,5.2034382820129395
synth_old,train,pv,150,374,0.566,0.436,0.493,0.423,0.21,5.453867435455322
synth_old,val,pv,12,35,0.717,0.6,0.653,0.634,0.333,4.235941171646118
synth_old,test,pv,18,32,0.31,0.5,0.383,0.3,0.159,4.864851951599121
mix_synth_rzesz,train,pv,1449,2706,0.796,0.745,0.77,0.79,0.446,11.093558073043823
rzeszow,train,pv,435,1692,0.844,0.801,0.822,0.844,0.561,7.01810622215271
rzeszow,val,pv,661,2767,0.834,0.661,0.737,0.722,0.469,7.365545272827148
rzeszow,test,pv,8440,66301,0.866,0.761,0.81,0.849,0.514,38.83401370048523
pilot,test,pv,54,227,0.423,0.295,0.348,0.256,0.101,5.120920658111572
