dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.888,0.864,0.876,0.928,0.459,8.467701196670532
synth_new2,val,pv,225,225,0.88,0.813,0.845,0.918,0.447,5.570523023605347
synth_new2,test,pv,114,114,0.849,0.787,0.816,0.887,0.453,5.418666124343872
synth_new1,train,pv,789,789,0.861,0.862,0.861,0.917,0.454,9.17893362045288
synth_new1,val,pv,225,225,0.925,0.824,0.872,0.925,0.462,5.49257230758667
synth_new1,test,pv,114,114,0.881,0.911,0.896,0.953,0.472,5.216466426849365
synth_old,train,pv,150,374,0.388,0.385,0.386,0.296,0.111,5.385907173156738
synth_old,val,pv,12,35,0.622,0.571,0.596,0.52,0.246,4.061092853546143
synth_old,test,pv,18,32,0.255,0.25,0.253,0.187,0.092,4.359508991241455
mix_synth_rzesz,train,pv,1449,2706,0.759,0.612,0.678,0.723,0.361,11.316050052642822
rzeszow,train,pv,435,1692,0.574,0.559,0.566,0.585,0.31,7.068472862243652
rzeszow,val,pv,661,2767,0.532,0.436,0.479,0.442,0.2,7.46789288520813
rzeszow,test,pv,8440,66301,0.54,0.463,0.499,0.464,0.208,39.91948390007019
pilot,test,pv,54,227,0.299,0.189,0.232,0.154,0.051,5.050901651382446
