dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.991,0.974,0.983,0.992,0.797,0.991,0.974,0.983,11.466491222381592
synth_new2,test,pv,114,114,0.995,0.947,0.971,0.99,0.622,0.995,0.947,0.971,6.850067138671875
synth_new1,test,pv,114,114,0.991,1.0,0.995,0.995,0.776,0.991,1.0,0.995,7.89061975479126
synth_old,train,pv,150,374,0.28,0.249,0.264,0.186,0.068,0.292,0.238,0.262,6.872493028640747
synth_old,val,pv,12,35,0.542,0.457,0.496,0.447,0.181,0.508,0.429,0.465,5.006199359893799
synth_old,test,pv,18,32,0.604,0.125,0.207,0.147,0.092,0.453,0.094,0.155,5.177473068237305
mix_synth_rzesz,train,pv,1449,2706,0.913,0.874,0.893,0.933,0.704,0.92,0.849,0.883,14.20652437210083
rzeszow,train,pv,435,1692,0.86,0.824,0.842,0.886,0.64,0.854,0.796,0.823,8.823790550231934
rzeszow,val,pv,661,2767,0.718,0.582,0.643,0.612,0.369,0.689,0.541,0.606,9.541477918624878
rzeszow,test,pv,8440,66301,0.743,0.587,0.656,0.651,0.376,0.725,0.546,0.623,58.825257301330566
pilot,test,pv,54,227,0.396,0.22,0.283,0.196,0.059,0.312,0.189,0.236,6.596869945526123
