dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.974,0.946,0.96,0.982,0.698,8.864238977432251
synth_new2,val,pv,225,225,0.966,0.964,0.965,0.99,0.706,5.5887322425842285
synth_new2,test,pv,114,114,0.956,0.958,0.957,0.964,0.586,5.133646726608276
synth_new1,train,pv,789,789,0.982,0.943,0.962,0.977,0.687,8.770914793014526
synth_new1,val,pv,225,225,0.971,0.964,0.968,0.989,0.689,5.484939813613892
synth_new1,test,pv,114,114,0.974,0.971,0.972,0.988,0.688,5.046693801879883
synth_old,train,pv,150,374,0.505,0.38,0.434,0.351,0.156,5.428895473480225
synth_old,val,pv,12,35,0.64,0.629,0.634,0.601,0.289,4.149266958236694
synth_old,test,pv,18,32,0.305,0.25,0.275,0.195,0.093,4.808277130126953
mix_synth_rzesz,train,pv,1449,2706,0.922,0.863,0.891,0.921,0.644,10.945034265518188
rzeszow,train,pv,435,1692,0.878,0.826,0.852,0.885,0.613,7.082173585891724
rzeszow,val,pv,661,2767,0.823,0.676,0.742,0.726,0.481,7.3018646240234375
rzeszow,test,pv,8440,66301,0.871,0.761,0.812,0.847,0.506,38.58493423461914
pilot,test,pv,54,227,0.337,0.225,0.27,0.185,0.057,5.083449363708496
