dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,1.0,0.99,0.995,0.995,0.892,1.0,0.99,0.995,13.275550842285156
synth_new2,test,pv,114,114,1.0,0.991,0.996,0.995,0.755,1.0,0.991,0.996,6.679761648178101
synth_new1,test,pv,114,114,1.0,1.0,1.0,0.995,0.873,1.0,1.0,1.0,6.967490196228027
synth_old,train,pv,150,374,0.375,0.246,0.297,0.215,0.099,0.326,0.193,0.242,7.2779200077056885
synth_old,val,pv,12,35,0.608,0.457,0.522,0.457,0.205,0.491,0.371,0.423,5.570350646972656
synth_old,test,pv,18,32,0.25,0.219,0.233,0.149,0.091,0.213,0.188,0.2,5.492051839828491
mix_synth_rzesz,train,pv,1449,2706,0.926,0.852,0.887,0.927,0.736,0.929,0.829,0.876,18.14738178253174
rzeszow,train,pv,435,1692,0.86,0.781,0.818,0.866,0.619,0.86,0.741,0.796,10.271697998046875
rzeszow,val,pv,661,2767,0.664,0.485,0.561,0.514,0.332,0.639,0.466,0.539,11.908590078353882
rzeszow,test,pv,8440,66301,0.628,0.432,0.512,0.451,0.267,0.618,0.412,0.495,74.82006573677063
pilot,test,pv,54,227,0.28,0.093,0.139,0.092,0.042,0.266,0.097,0.142,6.6167309284210205
