dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.995,0.992,0.993,0.995,0.897,0.994,0.989,0.991,12.167775392532349
synth_new2,val,pv,225,225,0.999,0.996,0.997,0.995,0.877,0.999,0.996,0.997,7.063229322433472
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.77,0.999,0.991,0.995,7.00849986076355
synth_new1,train,pv,789,789,0.997,0.99,0.994,0.995,0.877,0.998,0.987,0.992,11.76223611831665
synth_new1,val,pv,225,225,0.996,0.999,0.997,0.995,0.886,0.991,0.995,0.993,7.833895206451416
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.876,0.999,1.0,0.999,6.763273477554321
synth_old,train,pv,150,374,0.239,0.187,0.21,0.14,0.057,0.212,0.152,0.177,7.393267393112183
synth_old,val,pv,12,35,0.805,0.514,0.628,0.573,0.264,0.71,0.457,0.556,5.309539079666138
synth_old,test,pv,18,32,0.458,0.188,0.266,0.21,0.104,0.185,0.22,0.201,6.716170072555542
rzeszow,train,pv,8440,66301,0.604,0.391,0.475,0.415,0.244,0.585,0.363,0.448,79.60521578788757
rzeszow,val,pv,661,2767,0.841,0.707,0.768,0.769,0.555,0.801,0.656,0.721,10.947011947631836
rzeszow,test,pv,435,1692,0.655,0.564,0.606,0.584,0.37,0.663,0.506,0.574,9.240419149398804
pilot,test,pv,54,227,0.092,0.154,0.115,0.072,0.033,0.092,0.154,0.115,6.429277181625366
