dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.993,0.996,0.995,0.93,0.999,0.994,0.996,14.743876695632935
synth_new2,val,pv,225,225,0.996,1.0,0.998,0.995,0.934,0.996,1.0,0.998,8.076282501220703
synth_new2,test,pv,114,114,0.999,0.956,0.977,0.986,0.756,0.98,0.982,0.981,7.24457311630249
synth_new1,train,pv,789,789,1.0,0.987,0.994,0.993,0.911,1.0,0.989,0.994,12.117549896240234
synth_new1,val,pv,225,225,0.999,0.996,0.997,0.995,0.921,0.999,0.996,0.997,8.322295427322388
synth_new1,test,pv,114,114,1.0,1.0,1.0,0.995,0.913,1.0,1.0,1.0,7.092076778411865
synth_old,train,pv,150,374,0.462,0.257,0.33,0.263,0.121,0.342,0.19,0.244,7.61584734916687
synth_old,val,pv,12,35,0.747,0.429,0.545,0.537,0.254,0.529,0.429,0.474,5.806146860122681
synth_old,test,pv,18,32,0.349,0.312,0.33,0.236,0.112,0.305,0.188,0.232,5.990830898284912
mix_synth_rzesz,train,pv,1449,2706,0.954,0.919,0.936,0.967,0.817,0.96,0.89,0.924,18.16796088218689
rzeszow,train,pv,435,1692,0.923,0.88,0.901,0.942,0.739,0.934,0.829,0.878,10.649610042572021
rzeszow,val,pv,661,2767,0.692,0.481,0.567,0.506,0.335,0.672,0.471,0.554,11.763066530227661
rzeszow,test,pv,8440,66301,0.658,0.418,0.511,0.451,0.277,0.643,0.401,0.494,72.29464554786682
pilot,test,pv,54,227,0.117,0.185,0.144,0.123,0.055,0.123,0.194,0.15,7.150867700576782
