dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.918,0.832,0.873,0.915,0.551,0.916,0.829,0.871,11.492131233215332
synth_new2,val,pv,225,225,0.948,0.773,0.852,0.893,0.504,0.951,0.773,0.853,7.003443479537964
synth_new2,test,pv,114,114,0.893,0.851,0.872,0.926,0.515,0.886,0.842,0.863,7.569374084472656
synth_new1,train,pv,789,789,0.916,0.842,0.877,0.913,0.553,0.921,0.837,0.877,25.994088888168335
synth_new1,val,pv,225,225,0.918,0.791,0.85,0.916,0.541,0.913,0.787,0.845,13.138347387313843
synth_new1,test,pv,114,114,0.95,0.851,0.898,0.945,0.547,0.96,0.852,0.903,11.066999673843384
synth_old,train,pv,150,374,0.362,0.31,0.334,0.257,0.102,0.325,0.278,0.3,7.5118958950042725
synth_old,val,pv,12,35,0.788,0.531,0.634,0.523,0.21,0.788,0.531,0.634,5.186780214309692
synth_old,test,pv,18,32,0.282,0.281,0.281,0.19,0.106,0.361,0.125,0.186,5.332838773727417
mix_synth_rzesz,train,pv,1449,2706,0.913,0.856,0.883,0.914,0.626,0.898,0.824,0.86,13.29983401298523
rzeszow,train,pv,435,1692,0.901,0.891,0.896,0.925,0.671,0.874,0.835,0.854,8.756364583969116
rzeszow,val,pv,661,2767,0.883,0.748,0.81,0.797,0.56,0.886,0.707,0.787,9.500290870666504
rzeszow,test,pv,8440,66301,0.946,0.895,0.92,0.946,0.621,0.926,0.856,0.89,79.36599373817444
pilot,test,pv,54,227,0.297,0.264,0.28,0.191,0.081,0.416,0.233,0.299,7.5249223709106445
