dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.001,0.288,0.002,0.001,0.0,0.0,0.0,0.0,20.9086811542511
synth_new2,test,pv,114,114,0.001,0.351,0.002,0.001,0.0,0.0,0.0,0.0,12.691670656204224
synth_new1,test,pv,114,114,0.001,0.289,0.002,0.001,0.0,0.0,0.0,0.0,14.606881141662598
synth_old,train,pv,150,374,0.002,0.201,0.003,0.001,0.0,0.0,0.0,0.0,15.379926681518555
synth_old,val,pv,12,35,0.002,0.2,0.004,0.001,0.001,0.0,0.0,0.0,6.369963645935059
synth_old,test,pv,18,32,0.002,0.375,0.004,0.011,0.003,0.0,0.0,0.0,7.430468559265137
mix_synth_rzesz,train,pv,1449,2706,0.001,0.185,0.002,0.001,0.0,0.0,0.0,0.0,26.181233406066895
rzeszow,train,pv,435,1692,0.002,0.124,0.003,0.001,0.0,0.0,0.0,0.0,18.224545001983643
rzeszow,val,pv,661,2767,0.002,0.117,0.003,0.001,0.0,0.0,0.0,0.0,19.168278455734253
rzeszow,test,pv,8440,66301,0.002,0.088,0.004,0.001,0.0,0.0,0.0,0.0,81.43530893325806
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.257920742034912
