dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.987,0.96,0.973,0.986,0.757,0.987,0.96,0.973,12.708293676376343
synth_new2,val,pv,225,225,0.977,0.965,0.971,0.99,0.726,0.977,0.965,0.971,7.529915809631348
synth_new2,test,pv,114,114,0.98,0.974,0.977,0.959,0.567,0.997,0.991,0.994,6.867072105407715
synth_new1,train,pv,789,789,0.984,0.963,0.974,0.981,0.729,0.986,0.965,0.975,12.244633436203003
synth_new1,val,pv,225,225,0.978,0.986,0.982,0.994,0.732,0.986,0.974,0.98,8.09630036354065
synth_new1,test,pv,114,114,0.965,0.965,0.965,0.981,0.729,0.974,0.974,0.974,7.14422869682312
synth_old,train,pv,150,374,0.355,0.273,0.309,0.227,0.114,0.302,0.228,0.26,8.035560131072998
synth_old,val,pv,12,35,0.639,0.657,0.648,0.608,0.292,0.583,0.6,0.592,5.4994072914123535
synth_old,test,pv,18,32,0.363,0.438,0.397,0.337,0.164,0.176,0.344,0.233,5.670415163040161
rzeszow,train,pv,8440,66301,0.593,0.429,0.498,0.444,0.263,0.578,0.416,0.484,82.21835374832153
rzeszow,val,pv,661,2767,0.788,0.639,0.706,0.693,0.496,0.771,0.627,0.692,11.308170557022095
rzeszow,test,pv,435,1692,0.629,0.564,0.595,0.581,0.392,0.618,0.558,0.586,9.754808187484741
pilot,test,pv,54,227,0.492,0.115,0.186,0.154,0.074,0.436,0.101,0.164,6.638638973236084
