dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.001,0.077,0.001,0.0,0.0,0.0,0.0,0.0,10.580557584762573
synth_new2,test,pv,114,114,0.001,0.114,0.002,0.001,0.0,0.0,0.0,0.0,6.470203161239624
synth_new1,test,pv,114,114,0.001,0.096,0.001,0.0,0.0,0.0,0.0,0.0,7.324943542480469
synth_old,train,pv,150,374,0.002,0.094,0.004,0.001,0.0,0.0,0.0,0.0,6.664481163024902
synth_old,val,pv,12,35,0.0,0.029,0.001,0.0,0.0,0.0,0.0,0.0,5.08330774307251
synth_old,test,pv,18,32,0.001,0.094,0.002,0.001,0.0,0.0,0.0,0.0,5.263801097869873
mix_synth_rzesz,train,pv,1449,2706,0.002,0.129,0.003,0.002,0.001,0.0,0.0,0.0,12.683679580688477
rzeszow,train,pv,435,1692,0.003,0.16,0.006,0.004,0.001,0.0,0.0,0.0,8.100510835647583
rzeszow,val,pv,661,2767,0.003,0.123,0.006,0.009,0.001,0.0,0.0,0.0,9.558936834335327
rzeszow,test,pv,8440,66301,0.005,0.091,0.009,0.003,0.001,0.0,0.0,0.0,50.090622663497925
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33840799331665
