dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.993,0.981,0.987,0.994,0.821,0.993,0.981,0.987,10.777887105941772
synth_new2,val,pv,225,225,0.995,0.987,0.991,0.995,0.83,0.995,0.987,0.991,7.0732502937316895
synth_new2,test,pv,114,114,1.0,0.981,0.99,0.986,0.632,0.991,0.972,0.981,7.415193796157837
synth_new1,train,pv,789,789,0.992,0.98,0.986,0.992,0.796,0.992,0.98,0.986,9.689834356307983
synth_new1,val,pv,225,225,0.996,0.973,0.984,0.988,0.795,0.991,0.969,0.98,7.062089443206787
synth_new1,test,pv,114,114,1.0,0.999,0.999,0.995,0.801,1.0,0.999,0.999,6.737714767456055
synth_old,train,pv,150,374,0.325,0.23,0.269,0.179,0.076,0.292,0.176,0.22,6.7914721965789795
synth_old,val,pv,12,35,0.434,0.486,0.458,0.377,0.16,0.434,0.486,0.458,5.0887744426727295
synth_old,test,pv,18,32,0.289,0.188,0.227,0.136,0.064,0.252,0.094,0.137,5.323088645935059
mix_synth_rzesz,train,pv,1449,2706,0.971,0.951,0.961,0.981,0.807,0.956,0.917,0.936,14.180254697799683
rzeszow,train,pv,435,1692,0.956,0.934,0.945,0.974,0.808,0.931,0.88,0.905,9.185401201248169
rzeszow,val,pv,661,2767,0.839,0.694,0.76,0.742,0.515,0.822,0.661,0.733,10.143300294876099
rzeszow,test,pv,8440,66301,0.894,0.794,0.841,0.879,0.586,0.877,0.757,0.812,53.05472540855408
pilot,test,pv,54,227,0.355,0.167,0.227,0.131,0.046,0.357,0.167,0.228,6.519807815551758
