dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.784316539764404
synth_new2,val,pv,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075542449951172
synth_new2,test,pv,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.334303379058838
synth_new1,train,pv,789,789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73899793624878
synth_new1,val,pv,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.104050636291504
synth_new1,test,pv,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.750322103500366
synth_old,train,pv,150,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.989617586135864
synth_old,val,pv,12,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.632371664047241
synth_old,test,pv,18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.872244358062744
mix_synth_rzesz,train,pv,1449,2706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.176127195358276
rzeszow,train,pv,435,1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.735029935836792
rzeszow,val,pv,661,2767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.523962497711182
rzeszow,test,pv,8440,66301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.003939628601074
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.409939289093018
