dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.952,0.925,0.938,0.967,0.652,9.176833629608154
synth_new2,val,pv,225,225,0.971,0.884,0.925,0.955,0.639,5.828514814376831
synth_new2,test,pv,114,114,0.982,0.956,0.969,0.971,0.55,5.4140613079071045
synth_new1,train,pv,789,789,0.971,0.915,0.942,0.963,0.637,9.15842318534851
synth_new1,val,pv,225,225,0.971,0.929,0.95,0.98,0.647,5.792688369750977
synth_new1,test,pv,114,114,0.947,0.945,0.946,0.967,0.656,5.405963182449341
synth_old,train,pv,150,374,0.512,0.396,0.446,0.376,0.161,5.780266284942627
synth_old,val,pv,12,35,0.704,0.629,0.664,0.646,0.303,4.551394701004028
synth_old,test,pv,18,32,0.268,0.281,0.274,0.19,0.094,4.8732452392578125
mix_synth_rzesz,train,pv,1449,2706,0.904,0.854,0.878,0.909,0.616,10.930004119873047
rzeszow,train,pv,435,1692,0.874,0.815,0.843,0.877,0.599,7.151157379150391
rzeszow,val,pv,661,2767,0.821,0.676,0.741,0.729,0.478,7.814092397689819
rzeszow,test,pv,8440,66301,0.873,0.758,0.811,0.847,0.504,40.30933880805969
pilot,test,pv,54,227,0.332,0.264,0.294,0.203,0.062,5.45355486869812
