dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.992,0.995,0.995,0.906,0.997,0.991,0.994,14.1884183883667
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.91,1.0,1.0,1.0,7.675605297088623
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.713,0.999,0.991,0.995,7.132603168487549
synth_new1,train,pv,789,789,1.0,0.987,0.994,0.995,0.88,0.999,0.986,0.992,11.631472110748291
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.891,1.0,1.0,1.0,8.138248682022095
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.885,0.999,1.0,1.0,6.991827964782715
synth_old,train,pv,150,374,0.361,0.35,0.355,0.261,0.124,0.303,0.294,0.298,7.917132377624512
synth_old,val,pv,12,35,0.758,0.6,0.67,0.647,0.303,0.685,0.543,0.606,5.578855991363525
synth_old,test,pv,18,32,0.483,0.375,0.422,0.318,0.182,0.375,0.25,0.3,6.056013822555542
mix_synth_rzesz,train,pv,1449,2706,0.953,0.881,0.916,0.951,0.772,0.935,0.863,0.898,17.757891416549683
rzeszow,train,pv,435,1692,0.901,0.837,0.868,0.913,0.687,0.873,0.81,0.84,10.496129035949707
rzeszow,val,pv,661,2767,0.66,0.475,0.552,0.5,0.333,0.649,0.475,0.549,11.369791507720947
rzeszow,test,pv,8440,66301,0.613,0.398,0.483,0.412,0.241,0.597,0.384,0.467,73.56462955474854
pilot,test,pv,54,227,0.216,0.101,0.138,0.086,0.039,0.164,0.079,0.107,6.762771844863892
