dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.992,0.996,0.995,0.905,1.0,0.994,0.997,14.304373264312744
synth_new2,val,pv,225,225,0.999,1.0,1.0,0.995,0.898,0.999,1.0,1.0,7.65687370300293
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.822,0.999,0.991,0.995,7.142946004867554
synth_new1,train,pv,789,789,0.998,0.99,0.994,0.995,0.897,0.999,0.991,0.995,11.55382227897644
synth_new1,val,pv,225,225,0.999,1.0,1.0,0.995,0.894,0.999,1.0,1.0,7.93814492225647
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.891,0.999,1.0,1.0,6.827524900436401
synth_old,train,pv,150,374,0.332,0.254,0.288,0.194,0.086,0.261,0.211,0.234,7.593240022659302
synth_old,val,pv,12,35,0.578,0.686,0.627,0.565,0.271,0.5,0.6,0.546,5.505613327026367
synth_old,test,pv,18,32,0.362,0.188,0.247,0.136,0.067,0.241,0.125,0.165,5.57940673828125
mix_synth_rzesz,train,pv,1449,2706,0.922,0.853,0.886,0.923,0.738,0.923,0.834,0.876,17.924307823181152
rzeszow,train,pv,435,1692,0.854,0.79,0.821,0.861,0.611,0.853,0.75,0.798,10.216433048248291
rzeszow,val,pv,661,2767,0.56,0.44,0.493,0.426,0.243,0.572,0.406,0.475,11.89756464958191
rzeszow,test,pv,8440,66301,0.585,0.388,0.466,0.398,0.216,0.571,0.367,0.447,72.9132912158966
pilot,test,pv,54,227,0.229,0.115,0.153,0.087,0.033,0.299,0.145,0.196,7.3016517162323
