dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.916,0.858,0.886,0.93,0.52,9.602508783340454
synth_new2,val,pv,225,225,0.918,0.843,0.879,0.926,0.526,6.145368814468384
synth_new2,test,pv,114,114,0.878,0.868,0.873,0.906,0.45,5.52420973777771
synth_new1,train,pv,789,789,0.92,0.853,0.885,0.926,0.509,9.437332391738892
synth_new1,val,pv,225,225,0.876,0.846,0.861,0.911,0.487,6.016859769821167
synth_new1,test,pv,114,114,0.964,0.944,0.954,0.97,0.581,5.739340305328369
synth_old,train,pv,150,374,0.338,0.342,0.34,0.246,0.094,5.866705656051636
synth_old,val,pv,12,35,0.608,0.429,0.503,0.424,0.171,4.467970371246338
synth_old,test,pv,18,32,0.227,0.25,0.238,0.124,0.046,5.2458176612854
mix_synth_rzesz,train,pv,1449,2706,0.744,0.586,0.656,0.676,0.352,11.913578271865845
rzeszow,train,pv,435,1692,0.569,0.508,0.537,0.512,0.246,7.476483583450317
rzeszow,val,pv,661,2767,0.474,0.378,0.421,0.357,0.152,8.061519145965576
rzeszow,test,pv,8440,66301,0.486,0.422,0.451,0.387,0.159,41.35938858985901
pilot,test,pv,54,227,0.188,0.128,0.152,0.084,0.021,5.51441216468811
