dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.994,0.996,0.995,0.899,0.999,0.993,0.996,13.584651470184326
synth_new2,test,pv,114,114,0.998,0.991,0.995,0.995,0.718,0.998,0.991,0.995,6.493199110031128
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.861,0.999,1.0,1.0,6.946324348449707
synth_old,train,pv,150,374,0.36,0.23,0.281,0.189,0.085,0.316,0.185,0.233,7.437671184539795
synth_old,val,pv,12,35,0.688,0.568,0.623,0.591,0.24,0.586,0.485,0.531,5.569147825241089
synth_old,test,pv,18,32,0.299,0.312,0.306,0.215,0.117,0.18,0.188,0.184,5.642449855804443
mix_synth_rzesz,train,pv,1449,2706,0.946,0.892,0.918,0.955,0.767,0.922,0.87,0.896,18.42871403694153
rzeszow,train,pv,435,1692,0.91,0.836,0.871,0.916,0.675,0.869,0.798,0.832,10.18366003036499
rzeszow,val,pv,661,2767,0.655,0.496,0.564,0.515,0.346,0.645,0.493,0.559,11.595613718032837
rzeszow,test,pv,8440,66301,0.626,0.422,0.504,0.442,0.261,0.613,0.407,0.489,74.87241864204407
pilot,test,pv,54,227,0.267,0.123,0.169,0.097,0.042,0.209,0.093,0.128,6.758968114852905
