dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.001,0.288,0.002,0.001,0.0,0.0,0.0,0.0,20.782211542129517
synth_new2,test,pv,114,114,0.001,0.351,0.002,0.001,0.0,0.0,0.0,0.0,11.781871795654297
synth_new1,test,pv,114,114,0.001,0.289,0.002,0.001,0.0,0.0,0.0,0.0,14.605971813201904
synth_old,train,pv,150,374,0.002,0.201,0.003,0.001,0.0,0.0,0.0,0.0,13.605998039245605
synth_old,val,pv,12,35,0.002,0.2,0.004,0.001,0.001,0.0,0.0,0.0,6.3516762256622314
synth_old,test,pv,18,32,0.002,0.375,0.004,0.011,0.003,0.0,0.0,0.0,7.137364387512207
mix_synth_rzesz,train,pv,1449,2706,0.001,0.185,0.002,0.001,0.0,0.0,0.0,0.0,25.80392861366272
rzeszow,train,pv,435,1692,0.002,0.124,0.003,0.001,0.0,0.0,0.0,0.0,17.34545135498047
rzeszow,val,pv,661,2767,0.002,0.117,0.003,0.001,0.0,0.0,0.0,0.0,18.443933963775635
rzeszow,test,pv,8440,66301,0.002,0.088,0.004,0.001,0.0,0.0,0.0,0.0,74.2859046459198
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26746678352356
