dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.838,0.722,0.776,0.829,0.362,8.255153894424438
synth_new2,val,pv,225,225,0.876,0.676,0.763,0.811,0.347,5.607816696166992
synth_new2,test,pv,114,114,0.778,0.711,0.743,0.791,0.357,5.695950746536255
synth_new1,train,pv,789,789,0.841,0.728,0.78,0.831,0.364,9.50209379196167
synth_new1,val,pv,225,225,0.849,0.684,0.758,0.81,0.34,6.009078025817871
synth_new1,test,pv,114,114,0.892,0.711,0.791,0.855,0.378,5.6493141651153564
synth_old,train,pv,150,374,0.402,0.353,0.376,0.253,0.091,5.795649528503418
synth_old,val,pv,12,35,0.634,0.543,0.585,0.497,0.201,4.583501577377319
synth_old,test,pv,18,32,0.168,0.25,0.201,0.082,0.027,5.303357124328613
mix_synth_rzesz,train,pv,1449,2706,0.655,0.549,0.598,0.618,0.269,11.597048044204712
rzeszow,train,pv,435,1692,0.499,0.478,0.488,0.457,0.208,7.393470525741577
rzeszow,val,pv,661,2767,0.442,0.33,0.378,0.319,0.132,7.8307201862335205
rzeszow,test,pv,8440,66301,0.478,0.401,0.436,0.383,0.158,38.644335985183716
pilot,test,pv,54,227,0.333,0.176,0.231,0.143,0.04,5.218997240066528
