dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.97,0.925,0.947,0.975,0.684,0.97,0.925,0.947,11.51244044303894
synth_new2,val,pv,225,225,0.956,0.907,0.931,0.972,0.681,0.956,0.907,0.931,7.661504745483398
synth_new2,test,pv,114,114,0.949,0.977,0.963,0.984,0.552,0.949,0.977,0.963,8.003013610839844
synth_new1,train,pv,789,789,0.965,0.924,0.944,0.971,0.665,0.968,0.922,0.945,10.187714338302612
synth_new1,val,pv,225,225,0.986,0.916,0.95,0.984,0.673,0.986,0.916,0.95,7.571490526199341
synth_new1,test,pv,114,114,0.982,0.96,0.971,0.992,0.699,0.982,0.96,0.971,7.2557947635650635
synth_old,train,pv,150,374,0.404,0.305,0.348,0.277,0.118,0.333,0.253,0.288,7.486198663711548
synth_old,val,pv,12,35,0.636,0.45,0.527,0.465,0.175,0.618,0.463,0.529,5.751388311386108
synth_old,test,pv,18,32,0.278,0.375,0.319,0.179,0.094,0.279,0.125,0.173,5.9086387157440186
mix_synth_rzesz,train,pv,1449,2706,0.938,0.899,0.918,0.951,0.69,0.927,0.874,0.9,14.259170770645142
rzeszow,train,pv,435,1692,0.915,0.885,0.9,0.939,0.696,0.901,0.842,0.871,9.499588251113892
rzeszow,val,pv,661,2767,0.847,0.705,0.77,0.759,0.521,0.84,0.678,0.751,10.170422077178955
rzeszow,test,pv,8440,66301,0.897,0.815,0.854,0.891,0.566,0.881,0.782,0.829,54.26863074302673
pilot,test,pv,54,227,0.327,0.313,0.32,0.237,0.085,0.451,0.229,0.304,7.4724414348602295
