dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.988,0.971,0.98,0.99,0.804,0.988,0.971,0.98,11.413169145584106
synth_new2,test,pv,114,114,1.0,0.939,0.969,0.988,0.672,1.0,0.939,0.969,6.391032457351685
synth_new1,test,pv,114,114,0.99,0.991,0.991,0.995,0.792,0.99,0.991,0.991,7.308108806610107
synth_old,train,pv,150,374,0.272,0.219,0.243,0.167,0.076,0.255,0.211,0.231,6.797191619873047
synth_old,val,pv,12,35,0.498,0.457,0.477,0.438,0.205,0.498,0.457,0.477,5.0807106494903564
synth_old,test,pv,18,32,0.447,0.188,0.264,0.14,0.082,0.345,0.125,0.184,5.170194387435913
mix_synth_rzesz,train,pv,1449,2706,0.953,0.928,0.941,0.962,0.745,0.935,0.895,0.915,13.281972169876099
rzeszow,train,pv,435,1692,0.934,0.899,0.916,0.945,0.71,0.901,0.85,0.875,8.235371589660645
rzeszow,val,pv,661,2767,0.872,0.753,0.808,0.793,0.565,0.875,0.713,0.786,9.258928298950195
rzeszow,test,pv,8440,66301,0.942,0.887,0.913,0.943,0.618,0.923,0.848,0.884,59.90899109840393
pilot,test,pv,54,227,0.225,0.246,0.235,0.14,0.057,0.193,0.238,0.213,6.590247869491577
