dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.993,0.996,0.995,0.905,0.999,0.992,0.995,14.17723822593689
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.906,1.0,1.0,1.0,7.631101846694946
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.753,0.999,0.991,0.995,6.97408127784729
synth_new1,train,pv,789,789,0.999,0.991,0.995,0.995,0.888,0.999,0.99,0.994,11.649707317352295
synth_new1,val,pv,225,225,1.0,0.999,1.0,0.995,0.9,1.0,0.999,1.0,7.787892580032349
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.883,0.999,1.0,1.0,6.801541328430176
synth_old,train,pv,150,374,0.318,0.201,0.246,0.15,0.059,0.202,0.139,0.165,7.745765924453735
synth_old,val,pv,12,35,0.585,0.514,0.547,0.498,0.213,0.52,0.457,0.486,5.394718885421753
synth_old,test,pv,18,32,0.232,0.344,0.277,0.175,0.097,0.19,0.281,0.227,5.974271774291992
mix_synth_rzesz,train,pv,1449,2706,0.952,0.89,0.92,0.954,0.782,0.946,0.868,0.905,16.72049045562744
rzeszow,train,pv,435,1692,0.921,0.83,0.873,0.919,0.693,0.902,0.806,0.851,10.269920110702515
rzeszow,val,pv,661,2767,0.694,0.474,0.563,0.502,0.323,0.675,0.46,0.547,11.349339485168457
rzeszow,test,pv,8440,66301,0.631,0.42,0.505,0.443,0.265,0.614,0.405,0.488,73.69996547698975
pilot,test,pv,54,227,0.305,0.141,0.193,0.121,0.052,0.224,0.11,0.148,6.644969463348389
