dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.791,0.729,0.759,0.795,0.416,0.78,0.72,0.749,11.6963951587677
synth_new2,test,pv,114,114,0.762,0.759,0.761,0.81,0.436,0.786,0.774,0.78,11.673823118209839
synth_new1,test,pv,114,114,0.845,0.789,0.816,0.843,0.429,0.836,0.781,0.807,12.843529224395752
synth_old,train,pv,150,374,0.407,0.358,0.381,0.316,0.124,0.342,0.305,0.323,11.789885759353638
synth_old,val,pv,12,35,0.825,0.571,0.675,0.608,0.224,0.825,0.571,0.675,5.382608890533447
synth_old,test,pv,18,32,0.391,0.406,0.399,0.283,0.14,0.223,0.219,0.221,5.8987579345703125
mix_synth_rzesz,train,pv,1449,2706,0.862,0.805,0.832,0.865,0.559,0.835,0.775,0.804,13.460261106491089
rzeszow,train,pv,435,1692,0.908,0.851,0.878,0.907,0.636,0.866,0.81,0.837,8.520483493804932
rzeszow,val,pv,661,2767,0.884,0.739,0.805,0.788,0.543,0.875,0.703,0.78,9.450965642929077
rzeszow,test,pv,8440,66301,0.94,0.889,0.914,0.943,0.605,0.922,0.852,0.885,221.24525117874146
pilot,test,pv,54,227,0.405,0.269,0.323,0.231,0.092,0.398,0.247,0.305,9.051942110061646
