dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.993,0.987,0.99,0.994,0.866,0.993,0.987,0.99,10.84477424621582
synth_new2,test,pv,114,114,1.0,0.982,0.991,0.994,0.663,0.991,0.974,0.982,6.7081992626190186
synth_new1,test,pv,114,114,0.99,1.0,0.995,0.995,0.845,0.99,1.0,0.995,7.690713405609131
synth_old,train,pv,150,374,0.298,0.222,0.254,0.191,0.078,0.314,0.184,0.232,6.763324499130249
synth_old,val,pv,12,35,0.462,0.441,0.451,0.387,0.174,0.462,0.441,0.451,5.076557159423828
synth_old,test,pv,18,32,0.409,0.188,0.257,0.168,0.089,0.304,0.094,0.143,5.251392126083374
mix_synth_rzesz,train,pv,1449,2706,0.972,0.946,0.959,0.98,0.803,0.944,0.909,0.926,14.626882076263428
rzeszow,train,pv,435,1692,0.957,0.923,0.94,0.969,0.762,0.909,0.865,0.887,8.616965055465698
rzeszow,val,pv,661,2767,0.856,0.701,0.771,0.743,0.511,0.839,0.66,0.739,9.46463656425476
rzeszow,test,pv,8440,66301,0.901,0.814,0.856,0.893,0.585,0.878,0.771,0.821,54.47140669822693
pilot,test,pv,54,227,0.493,0.203,0.287,0.247,0.1,0.493,0.203,0.287,6.356244802474976
