setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft39_AdamW_finloop.pt_feval.csv,0.002,0.001,0.0,0.0
ft39_Adam_finloop.pt_feval.csv,0.003,0.002,0.001,0.0
ft39_auto_finloop.pt_feval.csv,0.965,0.983,0.852,0.945
ft39_SGD_finloop.pt_feval.csv,0.89,0.912,0.695,0.879
ft40_AdamW_finloop.pt_feval.csv,0.006,0.004,0.001,0.0
ft40_Adam_finloop.pt_feval.csv,0.0,0.0,0.0,0.0
ft40_auto_finloop.pt_feval.csv,0.965,0.983,0.852,0.945
ft40_SGD_finloop.pt_feval.csv,0.893,0.933,0.704,0.883
ft41_AdamW_finloop.pt_feval.csv,0.004,0.001,0.0,0.0
ft41_Adam_finloop.pt_feval.csv,0.01,0.013,0.003,0.0
ft41_auto_finloop.pt_feval.csv,0.975,0.987,0.864,0.954
ft41_SGD_finloop.pt_feval.csv,0.871,0.831,0.603,0.847
ft42_AdamW_finloop.pt_feval.csv,0.004,0.001,0.0,0.0
ft42_Adam_finloop.pt_feval.csv,0.01,0.013,0.003,0.0
ft42_auto_finloop.pt_feval.csv,0.972,0.987,0.871,0.954
ft42_SGD_finloop.pt_feval.csv,0.869,0.818,0.611,0.854
