setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft37_AdamW_finloop.pt_feval.csv,0.003,0.001,0.0,0.0
ft37_Adam_finloop.pt_feval.csv,0.004,0.008,0.002,0.0
ft37_auto_finloop.pt_feval.csv,0.321,0.236,0.11,0.281
ft37_SGD_finloop.pt_feval.csv,0.235,0.137,0.045,0.228
ft38_AdamW_finloop.pt_feval.csv,0.003,0.001,0.0,0.0
ft38_Adam_finloop.pt_feval.csv,0.004,0.008,0.002,0.0
ft38_auto_finloop.pt_feval.csv,0.286,0.213,0.091,0.248
ft38_SGD_finloop.pt_feval.csv,0.209,0.125,0.041,0.212
ft39_AdamW_finloop.pt_feval.csv,0.003,0.001,0.0,0.0
ft39_Adam_finloop.pt_feval.csv,0.004,0.001,0.0,0.0
ft39_auto_finloop.pt_feval.csv,0.294,0.227,0.099,0.244
ft39_SGD_finloop.pt_feval.csv,0.292,0.189,0.06,0.26
ft40_AdamW_finloop.pt_feval.csv,0.015,0.004,0.001,0.0
ft40_Adam_finloop.pt_feval.csv,0.0,0.0,0.0,0.0
ft40_auto_finloop.pt_feval.csv,0.294,0.227,0.099,0.244
ft40_SGD_finloop.pt_feval.csv,0.264,0.186,0.068,0.262
ft41_AdamW_finloop.pt_feval.csv,0.004,0.001,0.0,0.0
ft41_Adam_finloop.pt_feval.csv,0.014,0.037,0.009,0.0
ft41_auto_finloop.pt_feval.csv,0.273,0.197,0.082,0.243
ft41_SGD_finloop.pt_feval.csv,0.339,0.264,0.088,0.305
ft42_AdamW_finloop.pt_feval.csv,0.004,0.001,0.0,0.0
ft42_Adam_finloop.pt_feval.csv,0.014,0.037,0.009,0.0
ft42_auto_finloop.pt_feval.csv,0.294,0.205,0.086,0.258
ft42_SGD_finloop.pt_feval.csv,0.279,0.167,0.059,0.257
ft4_feval_SGD.csv,0.374,0.275,0.127,0.313
ft7_feval_AdamW.csv,0.112,0.059,0.031,0.088
ft7_feval_auto.csv,0.198,0.122,0.053,0.179
ft7_feval_SGD.csv,0.324,0.223,0.107,0.274
ft8_feval_AdamW.csv,0.21,0.14,0.057,0.177
ft8_feval_auto.csv,0.198,0.122,0.053,0.179
ft8_feval_SGD.csv,0.304,0.225,0.113,0.278
ft9_feval_AdamW.csv,0.276,0.186,0.084,0.231
ft9_feval_auto.csv,0.198,0.122,0.053,0.179
ft9_feval_SGD.csv,0.316,0.234,0.116,0.262
