dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.995,0.995,0.995,0.995,0.919,0.999,0.99,0.994,13.527116060256958
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.837,0.999,0.991,0.995,6.651754856109619
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.916,0.999,1.0,0.999,7.07031774520874
synth_old,train,pv,150,374,0.313,0.257,0.282,0.187,0.078,0.276,0.176,0.215,7.236384630203247
synth_old,val,pv,12,35,0.664,0.429,0.521,0.493,0.237,0.45,0.514,0.48,5.598667144775391
synth_old,test,pv,18,32,0.345,0.25,0.29,0.212,0.128,0.399,0.125,0.19,5.493541717529297
mix_synth_rzesz,train,pv,1449,2706,0.933,0.864,0.897,0.943,0.765,0.909,0.828,0.867,18.172447681427002
rzeszow,train,pv,435,1692,0.878,0.799,0.837,0.89,0.644,0.831,0.743,0.785,10.083871126174927
rzeszow,val,pv,661,2767,0.637,0.496,0.558,0.502,0.317,0.62,0.456,0.526,11.690798997879028
rzeszow,test,pv,8440,66301,0.629,0.405,0.493,0.431,0.252,0.606,0.384,0.47,74.33920121192932
pilot,test,pv,54,227,0.281,0.128,0.176,0.096,0.041,0.294,0.128,0.178,6.555781841278076
