dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.977,0.938,0.957,0.975,0.688,0.977,0.937,0.956,11.049199342727661
synth_new2,val,pv,225,225,0.977,0.92,0.947,0.982,0.694,0.975,0.916,0.944,7.2463459968566895
synth_new2,test,pv,114,114,0.995,0.93,0.961,0.978,0.561,0.995,0.93,0.961,6.827023267745972
synth_new1,train,pv,789,789,0.98,0.931,0.955,0.969,0.669,0.98,0.931,0.955,10.034154653549194
synth_new1,val,pv,225,225,0.973,0.946,0.959,0.983,0.677,0.968,0.941,0.955,7.253590106964111
synth_new1,test,pv,114,114,0.949,0.982,0.965,0.993,0.706,0.973,0.949,0.961,7.170424222946167
synth_old,train,pv,150,374,0.379,0.385,0.382,0.315,0.127,0.292,0.302,0.297,7.229665517807007
synth_old,val,pv,12,35,0.763,0.6,0.672,0.523,0.237,0.726,0.571,0.64,5.387112140655518
synth_old,test,pv,18,32,0.39,0.281,0.327,0.202,0.102,0.211,0.156,0.18,5.640399217605591
mix_synth_rzesz,train,pv,1449,2706,0.921,0.878,0.899,0.942,0.682,0.929,0.844,0.885,14.612169742584229
rzeszow,train,pv,435,1692,0.882,0.865,0.873,0.921,0.676,0.892,0.796,0.841,9.018789768218994
rzeszow,val,pv,661,2767,0.83,0.679,0.747,0.73,0.493,0.815,0.655,0.727,10.153355836868286
rzeszow,test,pv,8440,66301,0.888,0.787,0.835,0.872,0.548,0.873,0.751,0.808,54.64341640472412
pilot,test,pv,54,227,0.385,0.304,0.34,0.248,0.086,0.334,0.278,0.303,6.914743185043335
