dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.995,0.988,0.991,0.995,0.888,0.995,0.988,0.991,10.962328910827637
synth_new2,test,pv,114,114,1.0,0.99,0.995,0.995,0.694,1.0,0.99,0.995,6.56297492980957
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.875,0.999,1.0,0.999,7.743239879608154
synth_old,train,pv,150,374,0.244,0.23,0.237,0.152,0.064,0.254,0.19,0.217,6.957912921905518
synth_old,val,pv,12,35,0.485,0.43,0.456,0.378,0.162,0.485,0.43,0.456,5.187521696090698
synth_old,test,pv,18,32,0.315,0.25,0.279,0.172,0.073,0.196,0.094,0.127,5.4091856479644775
mix_synth_rzesz,train,pv,1449,2706,0.964,0.956,0.96,0.98,0.813,0.949,0.914,0.931,13.801099061965942
rzeszow,train,pv,435,1692,0.947,0.934,0.94,0.967,0.763,0.908,0.884,0.896,9.105056047439575
rzeszow,val,pv,661,2767,0.834,0.693,0.757,0.73,0.493,0.804,0.653,0.72,9.721542596817017
rzeszow,test,pv,8440,66301,0.883,0.77,0.823,0.856,0.551,0.856,0.726,0.785,54.46734929084778
pilot,test,pv,54,227,0.344,0.207,0.259,0.159,0.065,0.406,0.172,0.241,6.605936288833618
