dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.994,0.965,0.98,0.991,0.809,8.439334154129028
synth_new2,val,pv,225,225,0.99,0.964,0.977,0.992,0.812,5.750821352005005
synth_new2,test,pv,114,114,0.986,0.982,0.984,0.992,0.681,5.353915214538574
synth_new1,train,pv,789,789,0.986,0.964,0.975,0.984,0.791,8.978097915649414
synth_new1,val,pv,225,225,0.995,0.959,0.977,0.993,0.804,5.63704776763916
synth_new1,test,pv,114,114,0.99,1.0,0.995,0.995,0.817,5.301034450531006
synth_old,train,pv,150,374,0.401,0.35,0.374,0.268,0.107,5.494323253631592
synth_old,val,pv,12,35,0.454,0.571,0.506,0.47,0.229,4.333776235580444
synth_old,test,pv,18,32,0.206,0.219,0.212,0.142,0.082,4.726101398468018
mix_synth_rzesz,train,pv,1449,2706,0.933,0.879,0.905,0.949,0.719,11.370882272720337
rzeszow,train,pv,435,1692,0.889,0.84,0.864,0.916,0.655,6.915724754333496
rzeszow,val,pv,661,2767,0.772,0.628,0.693,0.678,0.435,7.498671531677246
rzeszow,test,pv,8440,66301,0.825,0.691,0.752,0.774,0.461,39.23384356498718
pilot,test,pv,54,227,0.291,0.225,0.253,0.182,0.07,5.273886680603027
