dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.98,0.968,0.974,0.984,0.78,0.978,0.966,0.972,11.521139144897461
synth_new2,val,pv,225,225,0.969,0.987,0.978,0.993,0.769,0.969,0.987,0.978,6.799085378646851
synth_new2,test,pv,114,114,0.959,0.947,0.953,0.983,0.662,0.954,0.939,0.946,7.370553255081177
synth_new1,train,pv,789,789,0.984,0.958,0.971,0.981,0.767,0.982,0.955,0.968,9.790169477462769
synth_new1,val,pv,225,225,0.987,0.964,0.976,0.993,0.76,0.983,0.96,0.971,6.873401403427124
synth_new1,test,pv,114,114,0.974,0.993,0.984,0.994,0.785,0.974,0.993,0.984,6.6258392333984375
synth_old,train,pv,150,374,0.24,0.217,0.228,0.176,0.077,0.226,0.225,0.225,6.757659196853638
synth_old,val,pv,12,35,0.597,0.429,0.499,0.416,0.196,0.597,0.429,0.499,4.880814790725708
synth_old,test,pv,18,32,0.273,0.219,0.243,0.14,0.085,0.204,0.125,0.155,5.029770612716675
mix_synth_rzesz,train,pv,1449,2706,0.953,0.93,0.942,0.962,0.746,0.945,0.892,0.918,14.181107521057129
rzeszow,train,pv,435,1692,0.94,0.91,0.925,0.949,0.727,0.91,0.857,0.883,8.950294494628906
rzeszow,val,pv,661,2767,0.872,0.756,0.81,0.795,0.572,0.899,0.707,0.791,9.650712251663208
rzeszow,test,pv,8440,66301,0.947,0.892,0.919,0.946,0.624,0.929,0.855,0.89,60.49237275123596
pilot,test,pv,54,227,0.273,0.22,0.244,0.156,0.06,0.241,0.198,0.218,6.724059820175171
