dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.994,0.979,0.987,0.994,0.819,0.994,0.979,0.987,11.959181785583496
synth_new2,test,pv,114,114,0.973,0.956,0.964,0.982,0.645,0.987,0.956,0.971,6.644783973693848
synth_new1,test,pv,114,114,1.0,0.991,0.995,0.995,0.797,1.0,0.991,0.995,7.725294351577759
synth_old,train,pv,150,374,0.261,0.174,0.209,0.125,0.041,0.273,0.174,0.212,7.175529718399048
synth_old,val,pv,12,35,0.385,0.371,0.378,0.236,0.081,0.385,0.371,0.378,5.1855738162994385
synth_old,test,pv,18,32,0.195,0.312,0.24,0.101,0.057,0.147,0.125,0.135,5.2789998054504395
mix_synth_rzesz,train,pv,1449,2706,0.922,0.878,0.899,0.948,0.712,0.915,0.859,0.886,14.784044027328491
rzeszow,train,pv,435,1692,0.872,0.823,0.847,0.905,0.635,0.859,0.793,0.825,8.903867244720459
rzeszow,val,pv,661,2767,0.713,0.561,0.628,0.595,0.349,0.687,0.528,0.597,9.694286823272705
rzeszow,test,pv,8440,66301,0.715,0.574,0.637,0.626,0.356,0.696,0.53,0.602,60.242939949035645
pilot,test,pv,54,227,0.3,0.203,0.242,0.128,0.048,0.318,0.185,0.234,6.883961200714111
