dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.997,0.994,0.995,0.995,0.909,0.996,0.992,0.994,12.517223358154297
synth_new2,val,pv,225,225,0.996,0.996,0.996,0.995,0.89,0.996,0.996,0.996,7.135216236114502
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.799,0.999,0.991,0.995,6.282735347747803
synth_new1,train,pv,789,789,0.997,0.992,0.995,0.995,0.889,0.996,0.991,0.994,10.912056684494019
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.902,1.0,1.0,1.0,7.170358896255493
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.898,0.999,1.0,1.0,6.227217435836792
synth_old,train,pv,150,374,0.232,0.19,0.209,0.132,0.056,0.18,0.187,0.184,6.982908725738525
synth_old,val,pv,12,35,0.779,0.629,0.696,0.626,0.259,0.631,0.514,0.567,4.881439685821533
synth_old,test,pv,18,32,0.422,0.456,0.439,0.24,0.117,0.228,0.25,0.239,5.408955335617065
rzeszow,train,pv,8440,66301,0.608,0.406,0.487,0.432,0.257,0.59,0.381,0.463,72.33156967163086
rzeszow,val,pv,661,2767,0.861,0.748,0.801,0.805,0.598,0.823,0.708,0.761,11.414638042449951
rzeszow,test,pv,435,1692,0.659,0.566,0.609,0.601,0.385,0.664,0.533,0.591,9.240679025650024
pilot,test,pv,54,227,0.276,0.101,0.148,0.099,0.037,0.228,0.084,0.122,6.080711603164673
